id,team_id,full_name,position,corsi_pct,fenwick_pct,on_ice_shots_pct,wrist_shot_shots,wrist_shot_goals,slap_shot_shots,slap_shot_goals,backhand_shot_shots,backhand_shot_goals,tip_shot_shots,tip_shot_goals,snap_shot_shots,snap_shot_goals,wrap_around_shot_shots,wrap_around_shot_goals,offensive_zone_starts,defensive_zone_starts,neutral_zone_starts
222b1a87-b947-4188-bfe9-70ee0c257203,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Pierre-Edouard Bellemare,F,0.536,0.533,0.543,0.87,0.07,0.05,0.0,0.18,0.0,0.07,0.0,0.14,0.0,0.04,0.0,3.7,4.92,3.53
f9158f7d-2d91-47ad-8298-1d4d1eaeaef6,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Nick Holden,D,0.556,0.553,0.54,0.69,0.03,0.36,0.02,0.05,0.0,0.02,0.0,0.15,0.0,0.02,0.0,5.95,5.18,5.8
1e2dfac4-9f24-4d83-a6f0-ba1a75dd97dc,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Erik Haula,F,0.618,0.602,0.601,1.0,0.13,0.07,0.0,0.0,0.0,0.07,0.07,0.53,0.0,0.07,0.0,8.0,4.27,3.6
4369c1c6-0f24-11e2-8525-18a905767e44,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Cody Eakin,F,0.499,0.493,0.483,0.96,0.18,0.17,0.03,0.1,0.04,0.09,0.01,0.15,0.01,0.04,0.01,5.22,5.38,4.4
4343c158-0f24-11e2-8525-18a905767e44,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Marc-Andre Fleury,G,0.539,0.539,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95,18.8,18.16
5e04d132-bff6-4238-a6c9-b837a77681fa,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Maxime Lagace,G,0.436,0.406,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,16.0
bc716a59-5411-4c4a-b98f-7a00ca788405,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Jimmy Schuldt,D,0.486,0.5,0.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0
430bc0c7-0f24-11e2-8525-18a905767e44,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Max Pacioretty,F,0.535,0.534,0.523,1.5,0.18,0.15,0.02,0.3,0.0,0.09,0.02,0.67,0.11,0.0,0.0,7.7,4.55,5.21
dbd758d7-0a91-40a2-a37c-b91dae05f258,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Ryan Carpenter,F,0.575,0.56,0.547,0.87,0.04,0.01,0.01,0.19,0.0,0.04,0.0,0.18,0.01,0.16,0.0,4.22,3.84,3.79
4341d7e1-0f24-11e2-8525-18a905767e44,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Deryk Engelland,D,0.498,0.488,0.476,1.01,0.03,0.22,0.0,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.0,5.49,8.36,6.36
fdb7cebb-56f8-4ff3-ba47-b6b3d55cda40,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Jake Bischoff,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42d32e29-0f24-11e2-8525-18a905767e44,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Ryan Reaves,F,0.55,0.54,0.54,0.68,0.09,0.05,0.0,0.08,0.01,0.11,0.01,0.2,0.0,0.05,0.0,3.96,2.5,3.21
32a43ff1-60d9-40dd-a4d3-810d9bf555a6,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Shea Theodore,D,0.569,0.561,0.555,1.68,0.04,0.52,0.08,0.13,0.03,0.0,0.0,0.22,0.01,0.0,0.0,8.35,5.1,5.91
ba00abef-d898-40eb-8c81-d822acf9d22f,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Malcolm Subban,G,0.545,0.535,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.86,17.29,18.76
aa0ef29e-9f7a-4331-81c4-67e0e3d480fa,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,William Carrier,F,0.562,0.543,0.545,0.69,0.06,0.04,0.0,0.31,0.04,0.17,0.04,0.15,0.02,0.19,0.0,3.52,2.63,3.37
