id,name,alias,corsi_for,corsi_against,fenwick_for,fenwick_against,on_ice_shots_for,on_ice_shots_against,average_shot_distance,wrist_shot_shots,wrist_shot_goals,slap_shot_shots,slap_shot_goals,backhand_shot_shots,backhand_shot_goals,tip_shot_shots,tip_shot_goals,snap_shot_shots,snap_shot_goals,wrap_around_shot_shots,wrap_around_shot_goals,points,goals_for,goals_against
4417d3cb-0f24-11e2-8525-18a905767e44,Tampa Bay Lightning,TB,48.96,46.76,37.06,35.55,26.95,26.18,37.028,18.32,2.23,5.91,0.52,2.63,0.43,1.55,0.34,3.15,0.43,0.22,0.0,128.0,325.0,222.0
44159241-0f24-11e2-8525-18a905767e44,Calgary Flames,CGY,50.63,43.51,37.34,32.9,26.59,23.27,35.673,19.87,2.0,4.0,0.21,2.6,0.41,1.91,0.43,3.45,0.34,0.24,0.01,107.0,289.0,227.0
4416ba1a-0f24-11e2-8525-18a905767e44,Boston Bruins,BOS,49.83,44.24,38.15,33.04,27.48,23.82,38.166,18.66,1.55,4.35,0.23,2.0,0.23,1.87,0.46,5.44,0.67,0.32,0.01,107.0,259.0,215.0
4417eede-0f24-11e2-8525-18a905767e44,Washington Capitals,WSH,48.15,50.0,36.07,37.4,25.27,26.4,38.08,16.24,1.83,5.29,0.52,2.02,0.23,1.79,0.38,4.66,0.4,0.07,0.0,104.0,278.0,249.0
441766b9-0f24-11e2-8525-18a905767e44,New York Islanders,NYI,45.27,49.61,33.34,35.98,24.2,25.8,35.924,15.24,1.46,5.57,0.22,2.49,0.35,2.21,0.33,2.99,0.35,0.26,0.02,103.0,228.0,196.0
44155909-0f24-11e2-8525-18a905767e44,San Jose Sharks,SJ,52.7,44.09,38.57,32.6,27.22,23.26,36.918,18.84,1.79,4.79,0.34,2.4,0.32,1.9,0.29,3.43,0.44,0.43,0.05,101.0,289.0,261.0
441730a9-0f24-11e2-8525-18a905767e44,Toronto Maple Leafs,TOR,56.28,52.6,40.96,40.82,27.98,28.85,34.967,18.59,1.98,2.66,0.12,2.76,0.29,2.35,0.24,6.12,0.67,0.56,0.05,100.0,286.0,251.0
441643b7-0f24-11e2-8525-18a905767e44,Nashville Predators,NSH,50.17,45.99,37.89,34.49,27.48,24.94,37.805,18.93,1.65,6.61,0.39,2.44,0.28,1.27,0.23,2.7,0.28,0.49,0.05,100.0,240.0,214.0
4417b7d7-0f24-11e2-8525-18a905767e44,Pittsburgh Penguins,PIT,50.28,51.1,38.01,38.1,28.15,28.28,35.538,18.29,1.55,4.05,0.3,3.1,0.37,2.06,0.3,5.3,0.71,0.24,0.01,100.0,273.0,241.0
441660ea-0f24-11e2-8525-18a905767e44,St. Louis Blues,STL,48.26,45.24,36.21,33.21,26.61,23.91,35.941,19.5,1.83,4.94,0.24,2.07,0.35,1.95,0.28,2.9,0.27,0.18,0.01,99.0,247.0,223.0
44182a9d-0f24-11e2-8525-18a905767e44,Carolina Hurricanes,CAR,55.34,45.37,41.8,34.28,29.0,24.11,37.21,13.99,1.17,5.13,0.29,3.26,0.32,1.52,0.26,9.43,0.83,0.35,0.01,99.0,245.0,223.0
44180e55-0f24-11e2-8525-18a905767e44,Winnipeg Jets,WPG,47.38,49.78,35.46,37.46,25.78,27.38,37.623,18.46,1.76,5.27,0.35,2.11,0.37,0.98,0.23,3.06,0.4,0.27,0.04,99.0,272.0,244.0
44167db4-0f24-11e2-8525-18a905767e44,Columbus Blue Jackets,CBJ,47.79,47.52,37.11,35.65,26.98,25.9,36.225,16.51,1.71,3.51,0.28,3.11,0.28,1.37,0.26,6.32,0.56,0.51,0.05,98.0,258.0,232.0
441713b7-0f24-11e2-8525-18a905767e44,Montreal Canadiens,MTL,55.59,47.32,40.09,35.13,29.41,25.84,38.688,21.28,1.82,4.67,0.33,2.66,0.29,1.87,0.29,2.96,0.23,0.33,0.05,96.0,249.0,236.0
42376e1c-6da8-461e-9443-cfcf0a9fcc4d,Vegas Golden Knights,VGK,53.96,44.74,39.49,33.05,28.62,24.43,36.878,20.23,1.74,3.87,0.23,2.96,0.37,1.18,0.2,4.38,0.38,0.66,0.01,93.0,249.0,230.0
44157522-0f24-11e2-8525-18a905767e44,Dallas Stars,DAL,47.27,49.99,34.83,36.59,25.84,26.49,36.661,18.18,1.4,3.54,0.17,2.46,0.24,1.8,0.27,3.79,0.4,0.24,0.0,93.0,210.0,202.0
4415ce44-0f24-11e2-8525-18a905767e44,Colorado Avalanche,COL,47.54,47.9,35.13,34.89,26.34,25.66,37.547,19.66,1.79,4.63,0.37,3.24,0.23,1.56,0.39,2.7,0.26,0.41,0.01,90.0,260.0,246.0
44153da1-0f24-11e2-8525-18a905767e44,Arizona Coyotes,ARI,47.9,50.32,35.4,36.62,25.3,25.88,38.75,20.13,1.72,3.83,0.21,2.7,0.34,1.27,0.12,2.38,0.2,0.35,0.04,86.0,213.0,223.0
4418464d-0f24-11e2-8525-18a905767e44,Florida Panthers,FLA,47.46,48.5,36.35,36.51,26.88,26.35,38.867,13.35,1.33,7.23,0.44,2.34,0.45,2.04,0.38,7.49,0.61,0.41,0.02,86.0,267.0,280.0
