,id
VGK,42376e1c-6da8-461e-9443-cfcf0a9fcc4d
LA,44151f7a-0f24-11e2-8525-18a905767e44
ARI,44153da1-0f24-11e2-8525-18a905767e44
SJ,44155909-0f24-11e2-8525-18a905767e44
CGY,44159241-0f24-11e2-8525-18a905767e44
VAN,4415b0a7-0f24-11e2-8525-18a905767e44
EDM,4415ea6c-0f24-11e2-8525-18a905767e44
ANA,441862de-0f24-11e2-8525-18a905767e44
DAL,44157522-0f24-11e2-8525-18a905767e44
COL,4415ce44-0f24-11e2-8525-18a905767e44
MIN,4416091c-0f24-11e2-8525-18a905767e44
CHI,4416272f-0f24-11e2-8525-18a905767e44
NSH,441643b7-0f24-11e2-8525-18a905767e44
STL,441660ea-0f24-11e2-8525-18a905767e44
WPG,44180e55-0f24-11e2-8525-18a905767e44
DET,44169bb9-0f24-11e2-8525-18a905767e44
BOS,4416ba1a-0f24-11e2-8525-18a905767e44
BUF,4416d559-0f24-11e2-8525-18a905767e44
OTT,4416f5e2-0f24-11e2-8525-18a905767e44
MTL,441713b7-0f24-11e2-8525-18a905767e44
TOR,441730a9-0f24-11e2-8525-18a905767e44
TB,4417d3cb-0f24-11e2-8525-18a905767e44
FLA,4418464d-0f24-11e2-8525-18a905767e44
CBJ,44167db4-0f24-11e2-8525-18a905767e44
NJ,44174b0c-0f24-11e2-8525-18a905767e44
NYI,441766b9-0f24-11e2-8525-18a905767e44
NYR,441781b9-0f24-11e2-8525-18a905767e44
PHI,44179d47-0f24-11e2-8525-18a905767e44
PIT,4417b7d7-0f24-11e2-8525-18a905767e44
WSH,4417eede-0f24-11e2-8525-18a905767e44
CAR,44182a9d-0f24-11e2-8525-18a905767e44
